,Strike #,FVEY,Country,DTG,Date,Time,ATO,Engage Unit,DEL/DYN,Entity ID,O-Suffix,Cat Code,Entity Name,City Name,Province,ROE,Target Function,T1#,Target_1,T2#,Target_2,Lat,Long,MGRS,Observer,Aircraft,Callsign,AC Base,Nationality,ORD1,Ordinance_1,ORD2,Ordinance_2,Targets Remark,Physical,Confidence,Functional,Recoup Time,MEA,CDA,MISREP
0,45837,TS/SCI,US,231334ZJUN13,23-JUN-13,1334Z,AA,AW-17,Dynamic,9103-79282,qn934,10103,Loon Mountain,Lincoln,Graftron,613,Function,1,OFFICE,6,RUNWAYS,44.036,-71.621,???,RKEP67,F-16,KBVB72,Bristol AFB,USA,2,Bofors 40mm,2,25mm GAU-12,Comment,light,med,heavy,0,heavy,med,"KBVB72, 23-JUN-13, info"
1,90025,TS/SCI,US,260412ZNOV05,26-NOV-05,0412Z,AA,AW-17,Dynamic,3188-94317,la375,20105,Random,r,R,620,Function,3,OFFICE,3,BARRACKS,18,1,???,HRRA72,F-16,NIBI86,Bristol AFB,USA,4,25mm GAU-12,5,25mm GAU-12,Comment,heavy,light,light,0,med,med,"NIBI86, 26-NOV-05, info"
2,58115,TS/SCI,US,151025ZOCT12,15-OCT-12,1025Z,AA,AW-17,Dynamic,0193-17502,rj304,20204,Sunday River,Newry,Oxford,441,Function,5,RUNWAYS,6,OFFICE,44.469,-70.861,???,BSWY89,SR-71,QBED76,Bristol AFB,USA,4,105mm M102,2,25mm GAU-12,Comment,heavy,heavy,med,0,light,light,"QBED76, 15-OCT-12, info"
3,09470,TS/SCI,US,141345ZNOV03,14-NOV-03,1345Z,AA,AW-17,Deliberate,1695-80273,id132,20204,Sunday River,Newry,Oxford,851,Function,8,OFFICE,9,BARRACKS,44.469,-70.861,???,VLME88,SR-71,TZIL75,Bristol AFB,USA,2,105mm M102,5,105mm M102,Comment,light,heavy,heavy,0,med,light,"TZIL75, 14-NOV-03, info"
4,42337,TS/SCI,US,101851ZAPR00,10-APR-00,1851Z,AA,AW-17,Dynamic,1199-58491,uz481,50205,Random,r,R,182,Function,6,RUNWAYS,1,BARRACKS,36,58,???,EWIV78,F-16,WIOY73,Bristol AFB,USA,4,25mm GAU-12,2,105mm M102,Comment,med,light,light,0,light,med,"WIOY73, 10-APR-00, info"
5,46497,TS/SCI,US,170554ZJUL08,17-JUL-08,0554Z,AA,AW-17,Dynamic,3578-49157,fm621,40101,Loon Mountain,Lincoln,Graftron,836,Function,5,OFFICE,3,OFFICE,44.036,-71.621,???,WOZE81,F-16,AIXG72,Bristol AFB,USA,5,Bofors 40mm,2,Bofors 40mm,Comment,light,heavy,light,0,light,med,"AIXG72, 17-JUL-08, info"
6,70923,TS/SCI,US,150809ZJAN04,15-JAN-04,0809Z,AA,AW-17,Deliberate,8621-51620,tp959,10102,Sunday River,Newry,Oxford,899,Function,1,RUNWAYS,1,BARRACKS,44.469,-70.861,???,NXZO78,F-16,ECHP66,Bristol AFB,USA,2,105mm M102,1,Bofors 40mm,Comment,heavy,med,heavy,0,heavy,light,"ECHP66, 15-JAN-04, info"
7,48644,TS/SCI,US,080509ZJUL15,08-JUL-15,0509Z,AA,AW-17,Dynamic,4003-74534,xn494,50205,Loon Mountain,Lincoln,Graftron,693,Function,8,BARRACKS,4,OFFICE,44.036,-71.621,???,ZAPK80,AC-130,DTWV90,Bristol AFB,USA,3,25mm GAU-12,2,105mm M102,Comment,light,med,light,0,heavy,light,"DTWV90, 08-JUL-15, info"
8,77721,TS/SCI,US,241624ZNOV04,24-NOV-04,1624Z,AA,AW-17,Deliberate,8319-68165,zr554,50202,Random,r,R,252,Function,10,BARRACKS,8,RUNWAYS,6,6,???,BWNO84,F-16,UDPE67,Bristol AFB,USA,2,105mm M102,3,Bofors 40mm,Comment,med,med,light,0,light,med,"UDPE67, 24-NOV-04, info"
9,66122,TS/SCI,US,200937ZFEB07,20-FEB-07,0937Z,AA,AW-17,Deliberate,1811-65429,gq109,20201,Random,r,R,767,Function,8,BARRACKS,8,BARRACKS,13,61,???,ZFMV68,F-16,XQWZ65,Bristol AFB,USA,2,105mm M102,1,Bofors 40mm,Comment,light,heavy,light,0,light,light,"XQWZ65, 20-FEB-07, info"
