,Strike #,FVEY,Country,DTG,Date,Time,ATO,Engage Unit,DEL/DYN,Entity ID,O-Suffix,Cat Code,Entity Name,City Name,Province,ROE,Target Function,T1#,Target_1,T2#,Target_2,Lat,Long,MGRS,Observer,Aircraft,Callsign,AC Base,Nationality,ORD1,Ordinance_1,ORD2,Ordinance_2,Targets Remark,Physical,Confidence,Functional,Recoup Time,MEA,CDA,MISREP
0,45917,TS/SCI,US,121729ZJAN01,12-Jan-01,1729Z,AA,AW-17,Dynamic,0393-31812,uq906,40102,Sunday River,Newry,Oxford,102,Function,1,OFFICE,4,BARRACKS,44.469,-70.861,???,AKRS75,F-16,VXGB84,Bristol AFB,USA,3,Bofors 40mm,4,25mm GAU-12,Comment,heavy,light,light,0,heavy,light,"VXGB84, 12-JAN-01, info"
1,45918,TS/SCI,US,160303ZMAY09,16-May-09,0303Z,AA,AW-17,Deliberate,6736-99834,sh095,50204,Sunday River,Newry,Oxford,518,Function,9,BARRACKS,9,RUNWAYS,44.036,-71.621,???,NVLE73,AC-130,IMSH76,Bristol AFB,USA,2,105mm M102,3,25mm GAU-12,Comment,med,light,heavy,0,light,heavy,"IMSH76, 16-MAY-09, info"
2,42958,TS/SCI,US,180739ZFEB07,18-Feb-07,0739Z,AA,AW-17,Dynamic,7130-96572,kj996,30203,Sunday River,Newry,Oxford,544,Function,7,OFFICE,10,BARRACKS,44.869,-70.861,???,LBWO90,F-16,YSQT75,Bristol AFB,USA,1,105mm M102,1,Bofors 40mm,Comment,med,med,heavy,0,med,light,"YSQT75, 18-FEB-07, info"
3,26155,TS/SCI,US,241649ZAPR02,24-Apr-02,1649Z,AA,AW-17,Dynamic,4518-04447,ya656,20203,Sunday River,Newry,Oxford,230,Function,3,RUNWAYS,6,OFFICE,44.869,-70.861,???,HJFN87,F-16,PECG74,Bristol AFB,USA,2,105mm M102,4,25mm GAU-12,Comment,med,light,light,0,light,light,"PECG74, 24-APR-02, info"
4,6147,TS/SCI,US,222010ZNOV10,22-Nov-10,2010Z,AA,AW-17,Dynamic,0504-35554,mp979,10202,Loon Mountain,Lincoln,Graftron,444,Function,6,OFFICE,10,RUNWAYS,44.869,-71.621,???,CHEC78,F-16,AYYV69,Bristol AFB,USA,1,105mm M102,2,25mm GAU-12,Comment,med,light,med,0,med,heavy,"AYYV69, 22-NOV-10, info"
5,60723,TS/SCI,US,191633ZJAN10,19-Jan-10,1633Z,AA,AW-17,Dynamic,9724-27330,qk619,40204,Loon Mountain,Lincoln,Graftron,699,Function,10,OFFICE,5,BARRACKS,44.869,-71.621,???,QKPY75,SR-71,UOXE83,Bristol AFB,USA,4,Bofors 40mm,1,Bofors 40mm,Comment,heavy,light,light,0,light,light,"UOXE83, 19-JAN-10, info"
6,19424,TS/SCI,US,210848ZMAR05,21-Mar-05,0848Z,AA,AW-17,Dynamic,0663-01261,sd272,30204,Loon Mountain,Lincoln,Graftron,709,Function,2,BARRACKS,5,RUNWAYS,44.869,-71.621,???,IQIZ65,SR-71,FQRX78,Bristol AFB,USA,4,25mm GAU-12,1,25mm GAU-12,Comment,med,heavy,light,0,med,light,"FQRX78, 21-MAR-05, info"
7,6684,TS/SCI,US,210512ZMAY15,21-May-15,0512Z,AA,AW-17,Dynamic,0121-34235,jb528,10105,Loon Mountain,Lincoln,Graftron,720,Function,8,RUNWAYS,4,RUNWAYS,44.869,-71.621,???,JCHY73,AC-130,ZJGP75,Bristol AFB,USA,1,Bofors 40mm,1,105mm M102,Comment,heavy,heavy,med,0,light,med,"ZJGP75, 21-MAY-15, info"
8,64626,TS/SCI,US,071814ZJUL09,7-Jul-09,1814Z,AA,AW-17,Deliberate,3404-28874,hd953,50203,Sunday River,Newry,Oxford,651,Function,7,BARRACKS,7,RUNWAYS,44.869,-70.861,???,XGLL74,AC-130,NYJV67,Bristol AFB,USA,3,25mm GAU-12,1,Bofors 40mm,Comment,light,light,heavy,0,heavy,med,"NYJV67, 07-JUL-09, info"
9,79934,TS/SCI,US,031300ZOCT00,3-Oct-00,1300Z,AA,AW-17,Deliberate,9760-10352,sy044,10102,Loon Mountain,Lincoln,Graftron,764,Function,7,RUNWAYS,8,RUNWAYS,44.869,-71.621,???,HEEA70,SR-71,EXRA79,Bristol AFB,USA,1,105mm M102,3,25mm GAU-12,Comment,med,heavy,med,0,med,med,"EXRA79, 03-OCT-00, info"
